| time |        x         |        y         |nx |zy |ny |no |cx |re |op |       out        |zr |ng |of |
| 0+   | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0000000000000000 | 0 | 1 | 0 |
| 1    | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 1111111111111101 | 0 | 1 | 0 |
| 1+   | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 1111111111111101 | 0 | 0 | 0 |
| 2    | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0000000000000010 | 0 | 0 | 0 |
| 2+   | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000010 | 0 | 0 | 0 |
| 3    | 0000000000000010 | 0000000000000100 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000000010 | 0 | 0 | 0 |
| 3+   | 0000000000000010 | 0000000000000100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000010 | 1 | 0 | 0 |
| 4    | 0000000000000010 | 0000000000000100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000000000 | 1 | 0 | 0 |
| 4+   | 0000000000000010 | 0000000000000100 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0000000000000000 | 0 | 1 | 0 |
| 5    | 0000000000000010 | 0000000000000100 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 1111111111111011 | 0 | 1 | 0 |
| 5+   | 0000000000000010 | 0000000000000100 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1111111111111011 | 0 | 1 | 0 |
| 6    | 0000000000000010 | 0000000000000100 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1111111111111101 | 0 | 1 | 0 |
| 6+   | 0000000000000010 | 0000000000000100 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1111111111111101 | 0 | 1 | 0 |
